track_difference,ripple_difference_ALL,ripple_difference_PRE,ripple_difference_POST,animal_ids,session_ids
-0.771316364417975,-0.0019963241647929,0.0137208206579089,-0.0177134722471237,1,1
-0.671803847452865,-0.0135925291106105,0.0156573113054037,-0.0428423695266247,1,1
-0.659819552163293,-0.0262217782437801,-0.0461100339889526,-0.00633351970463991,1,1
0.807380038975074,-0.0399218462407589,-0.0110606383532286,-0.0687830522656441,1,1
0.0984308460747066,0.0430442132055759,0.0340288169682026,0.0520596094429493,1,1
0.383539241143076,0.0026799573097378,-0.0155093176290393,0.0208692327141762,1,1
0.287324734687149,0.014576019719243,0.0211437307298183,0.00800830591470003,1,1
1.18080849915003,-0.024759229272604,-0.036080826073885,-0.0134376315400004,1,1
-1.02111152866049,0.0107152741402388,0.0165427438914776,0.00488780159503222,1,1
0.0274647007004453,-0.03041997179389,-0.0255844295024872,-0.0352555140852928,1,1
-0.558745855539065,0.0162313375622034,0.0390591844916344,-0.00659651169553399,1,1
-0.974966713082269,-0.0269975364208221,-0.0599599182605743,0.00596485193818808,1,1
-0.557745269566229,-0.0501790158450603,-0.037274818867445,-0.063083216547966,1,1
0.2572175057582,0.0238273311406374,0.033210389316082,0.0144442599266768,1,1
0.731687523703788,0.049321886152029,0.0226585380733013,0.0759852305054665,1,1
0.381672146736237,-0.0112358303740621,-0.0283176507800817,0.00584598677232862,1,1
0.79895473511947,-0.0354811698198318,-0.0443058982491493,-0.0266564544290304,1,1
1.01462396269266,-0.0105247180908918,-0.0571304932236671,0.0360810495913029,1,1
-0.198571599681286,0.012094565667212,0.0166499856859446,0.00753914564847946,1,1
-0.0938912713838544,-0.00266753090545535,0.0224198270589113,-0.0277548879384995,1,1
0.588682063873027,0.0214722491800785,0.0158405266702175,0.0271039754152298,1,1
-0.120898145730855,0.0277754478156567,0.0050221043638885,0.0505287833511829,1,1
0.954143932560464,-0.0182164199650288,-0.0461427792906761,0.00970993656665087,1,1
1.12985917973949,0.0101799024268985,-0.0179742462933064,0.0383340492844582,1,1
-0.273998400950553,0.00596606358885765,0.00759104918688536,0.00434107799082994,1,1
-0.969726107757398,-0.0373986177146435,-0.0399250276386738,-0.0348722077906132,1,1
-0.467879707192741,-0.0654623508453369,0,-0.130924701690674,1,1
-0.0645400692426069,-0.0655834525823593,0.0187834613025188,-0.149950370192528,1,1
-0.0693013861744594,-0.0088010523468256,0.0120384823530912,-0.0296405889093876,1,1
0.176660156923284,-0.0210354588925838,-0.0551356375217438,0.0130647197365761,1,1
0.587531555719341,-0.0117426393553615,-0.0247083902359009,0.00122311455197632,1,1
-0.150335585871969,-0.0366954877972603,-0.0201797392219305,-0.0532112345099449,1,1
-0.862029879576621,0.019505612552166,0.0590568259358406,-0.0200455989688635,1,1
-1.27916117928085,-0.0528302267193794,-0.0556925609707832,-0.0499679036438465,1,1
-0.250316192366511,-0.00701308762654662,-0.0363552048802376,0.0223290305584669,1,1
-0.582703043574747,-0.00997122190892696,-0.00109262554906309,-0.0188498180359602,1,1
-0.369619986841376,-0.0288922097533941,-0.0481536760926247,-0.00963074527680874,1,1
-0.901529448110322,-0.041040450334549,-0.0420016199350357,-0.0400792770087719,1,1
-0.914924649364666,-0.00397865567356348,-0.00466931471601129,-0.00328800012357533,1,1
-0.840721986904636,-0.00379855930805206,-0.00759711861610413,0,1,1
-1.27103193868473,-0.0166492201387882,-0.00407520076259971,-0.0292232390493155,1,1
-0.60950377003354,0.0492346659302711,0.0725361779332161,0.0259331520646811,1,1
-0.0179595808076723,0.00510837323963642,0.0182907991111279,-0.00807405076920986,1,1
-0.223576936179399,0.029604833573103,0.0615010485053062,-0.00229136203415692,1,1
0.854329286609142,0.00710386782884598,0.00573591515421867,0.00847182050347328,1,1
0.944866445276211,-0.00773866847157478,-0.0167586859315634,0.00128135015256703,1,1
-0.943781311704798,0.0250070337206125,0.00902781821787357,0.0409862548112869,1,1
-1.21432588495568,-0.0200714841485023,-0.00528755132108927,-0.034855417907238,1,1
-1.47753618397806,-0.0113574806600809,-0.00767128309234977,-0.0150436814874411,1,1
-0.562592049495002,0.033550750464201,0.0471570231020451,0.0199444927275181,1,1
0.350099176446641,-0.0196872260421515,0,-0.0393744520843029,1,1
0.558687401802852,0.00941423326730728,-0.00642259884625673,0.0252510663121939,1,1
0.32482112851757,-0.0747138783335686,-0.0819626972079277,-0.0674650818109512,1,1
-1.27756671927061,-0.00183273549191654,0.00816853158175945,-0.0118340039625764,1,1
-0.0974152533731977,0.0347227230668068,0.041843093931675,0.027602344751358,1,1
-0.707390597392562,-0.0357180759310722,-0.0019532204605639,-0.0694829374551773,1,1
-0.999131372565271,0.0276030749082565,0.068862609565258,-0.0136564671993256,1,1
-0.614459165382502,0.00771361961960793,-0.013902691192925,0.0293299220502377,1,1
-0.481558299702948,0.00379645777866244,-0.00931458733975887,0.0169075019657612,1,1
0.0282793486930117,-0.00452717486768961,0,-0.00905434973537922,1,1
-1.44685856639521,-0.00859647616744041,-0.0508651025593281,0.033672146499157,1,1
0.00736024432086448,0.00584795791655779,0.0230287965387106,-0.0113328816369176,1,1
0.545873475478046,-0.0278051700443029,-0.0349206998944283,-0.0206896476447582,1,1
-0.366075926107612,-0.0599800460040569,-0.0533845610916615,-0.0665755420923233,1,1
-0.260703301508404,NaN,NaN,NaN,1,1
-0.293529557326628,0,0,0,1,1
-0.462959705666599,0,0,0,1,1
-0.620303604931765,-0.0340411439538002,-0.030463308095932,-0.0376189835369587,1,1
-1.14741324684639,-0.0284453276544809,-0.0426276996731758,-0.0142629537731409,1,1
-0.999671964846446,0.0178063288331032,0.0274672750383615,0.00814539007842541,1,1
-0.0946557540982697,0.0523147284984589,0.0274024251848459,0.0772270336747169,1,1
-0.253601491182171,0.0342552810907364,0.0339021980762482,0.034608356654644,1,1
-0.581975965783066,0.0572263114154339,0.0368042774498463,0.0776483565568924,1,1
0.0486287651798575,-0.0108522400259972,-0.0596988797187805,0.0379944033920765,1,1
0.639647194734364,-0.0562903061509132,-0.0658551603555679,-0.0467254519462585,1,1
-0.0884289707669982,-0.00119291176088154,-0.0528388731181622,0.0504530556499958,1,1
-0.179754918728585,0.0523926541209221,0.048416905105114,0.0563683994114399,1,1
-0.578583159387137,0.0391892604529858,0.0244667790830135,0.0539117455482483,1,1
-0.205515672246455,-0.0259349644184113,-0.0612981915473938,0.00942826643586159,1,1
-0.349011421826961,-0.00778297800570726,0.0019407004583627,-0.0175066571682692,1,1
-0.544699964144334,0.00454842951148748,0.0197736136615276,-0.0106767574325204,1,1
