track_difference,ripple_difference_ALL,ripple_difference_PRE,ripple_difference_POST,animal_ids,session_ids
-0.771316364417975,-0.0221588984131813,-0.0151952458545566,-0.0291225500404835,1,1
-0.671803847452865,0.00143181788735092,-0.00763939181342721,0.010503027588129,1,1
-0.659819552163293,-0.0139446575194597,-0.00468953419476748,-0.0231997780501842,1,1
0.807380038975074,-0.0061891945078969,-0.000367568980436772,-0.0120108211413026,1,1
0.0984308460747066,0.00742968916893005,0.0160217322409153,-0.0011623518075794,1,1
0.383539241143076,0.037665031850338,0.0186689961701632,0.056661069393158,1,1
0.287324734687149,0.0280618667602539,0.0223791636526585,0.0337445698678493,1,1
1.18080849915003,0.000607843976467848,-0.00302845356054604,0.00424414221197367,1,1
-1.02111152866049,0.00654816627502441,0.0240095593035221,-0.0109132286161184,1,1
0.0274647007004453,-0.0223415456712246,-0.0182956643402576,-0.0263874288648367,1,1
-0.558745855539065,0.0071956068277359,0.0272256676107645,-0.0128344474360347,1,1
-0.974966713082269,-0.0106547456234694,-0.0190486963838339,-0.00226079253479838,1,1
-0.557745269566229,-0.0266020093113184,-0.0235111005604267,-0.0296929124742746,1,1
0.2572175057582,0.0103131551295519,-0.00174891052301973,0.0223752204328775,1,1
0.731687523703788,0.0280079934746027,0.0153244463726878,0.0406915321946144,1,1
0.381672146736237,0.0198296792805195,0.0270950198173523,0.0125643387436867,1,1
0.79895473511947,-0.0107696112245321,-0.0139397066086531,-0.00759951677173376,1,1
1.01462396269266,0.0431970022618771,0.0303562972694635,0.0560377165675163,1,1
-0.198571599681286,0.01829868927598,0.0269520524889231,0.00964532699435949,1,1
-0.0938912713838544,-0.0214863196015358,-0.0201869923621416,-0.0227856449782848,1,1
0.588682063873027,-0.0066265114583075,0.00153429037891328,-0.0147873144596815,1,1
-0.120898145730855,0.0182442665100098,0.0264374855905771,0.0100510437041521,1,1
0.954143932560464,-0.00235842494294047,-0.026210343465209,0.0214934926480055,1,1
1.12985917973949,0.0111495815217495,-0.0206975471228361,0.04299670830369,1,1
-0.273998400950553,-0.0229325350373983,-0.0197210554033518,-0.02614401653409,1,1
-0.969726107757398,-0.0113970637321472,-0.00797818787395954,-0.0148159386590123,1,1
-0.467879707192741,3.28756861733837e-08,3.20374979878579e-08,3.5949049959072e-08,1,1
-0.0645400692426069,-0.020644124597311,0.00275696674361825,-0.0440452173352242,1,1
-0.0693013861744594,0.00615478586405516,0.000317644880851731,0.0119919264689088,1,1
0.176660156923284,0.00486243609338999,0.00183073617517948,0.00789413601160049,1,1
0.587531555719341,0.0045572267845273,-0.00492738513275981,0.014041836373508,1,1
-0.150335585871969,-0.00934554077684879,-0.00802477169781923,-0.0106663107872009,1,1
-0.862029879576621,-0.0177492387592793,-0.00494738621637225,-0.030551090836525,1,1
-1.27916117928085,-0.0117499055340886,-0.025459136813879,0.00195933203212917,1,1
-0.250316192366511,0.00143353012390435,-0.000328852242091671,0.00319591234438121,1,1
-0.582703043574747,0.023861275985837,0.0241982936859131,0.023524260148406,1,1
-0.369619986841376,-0.0105765480548143,-0.0141536397859454,-0.00699945259839296,1,1
-0.901529448110322,-0.0187831483781338,-0.0298892110586166,-0.00767708569765091,1,1
-0.914924649364666,-0.00293352827429771,-0.00681745540350676,0.00095039902953431,1,1
-0.840721986904636,-0.00185406464152038,-0.00370812928304076,0,1,1
-1.27103193868473,0.0146264862269163,-0.00333440164104104,0.0325873754918575,1,1
-0.60950377003354,0.0231682453304529,0.0208422541618347,0.0254942383617163,1,1
-0.0179595808076723,0.0244967918843031,0.0243827123194933,0.0246108751744032,1,1
-0.223576936179399,0.0127182751893997,0.0239946618676186,0.00144187884870917,1,1
0.854329286609142,-0.00539678428322077,-0.00713713327422738,-0.00365643645636737,1,1
0.944866445276211,0.00113370083272457,0.00148301350418478,0.00078438816126436,1,1
